,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
0,98.95999999999998,83.4,-35.599999999999994,1.2454,0.78,78.89,1.4422,1.4800000000000002,1.27,10.74,0.0,0.1,0.81,19.0,7.4,4.1,79.46009314
1,90.12000000000002,85.00000000000001,-58.00000000000001,0.8629999999999999,0.4859,48.0,1.3813,-0.2100000000000001,1.71,7.2,0.0,0.41,0.53,15.399999999999999,6.3,6.0,104.4264195
2,76.1,124.10000000000002,-85.1,0.9647,1.544,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439
3,60.05,117.90000000000002,16.599999999999987,1.0446,1.056,15.7,1.372,-0.16999999999999998,1.7,6.199999999999999,1.12,0.44999999999999996,0.6399999999999999,14.5,8.0,13.499999999999998,57.488416619999995
4,102.08999999999999,139.50000000000003,-73.4,1.082,0.843,5.11,1.3901,-0.27000000000000013,2.8,20.7,0.0,0.29,0.7600000000000001,16.0,11.7,10.2,94.35268022
5,58.08,56.079999999999984,-94.9,0.7845,0.32,231.0,1.3588,-0.24000000000000013,2.88,20.7,0.08,0.43,0.7099999999999999,15.499999999999998,10.4,7.0,74.03416188999998
6,41.05,81.6,-43.99999999999999,0.79,0.35,88.8,1.33934,-0.33999999999999997,3.94,37.5,0.19,0.4,0.7499999999999999,15.299999999999999,18.0,6.1,51.96506329
7,108.14,153.7,-37.29999999999999,0.9956,0.778,3.54,1.51791,2.11,1.36,4.3,0.0,0.32,0.7299999999999999,17.8,4.1,6.700000000000001,108.6179188
8,78.11,80.08,5.557999999999988,0.8756,0.604,94.8,1.5011,2.13,0.0,2.275,0.0,0.1,0.59,18.4,0.0,2.0,89.21128369
9,146.11,103.46,-29.049999999999997,1.1886,0.5524,38.83,1.41486,3.0099999999999993,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,0.0,122.9261316
10,108.14,205.3,-15.200000000000005,1.0419,5.474,0.094,1.5396,1.0999999999999999,1.71,13.0,0.6,0.52,0.98,18.4,6.3,13.7,103.79076690000001
11,153.82,76.7,-22.199999999999985,1.594,0.91,115.0,1.4601,2.8299999999999996,0.0,2.2,0.0,0.1,0.27999999999999997,17.8,0.0,0.6,96.50125471
12,119.38,61.12,-63.47,1.484,0.54,197.0,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884
13,84.16000000000001,80.70000000000002,6.469999999999999,0.7781,0.89,97.5,1.42662,3.44,0.61,2.0,0.0,0.0,0.0,16.8,0.0,0.2,108.1619329
14,98.14000000000001,155.4,-30.999999999999996,0.9421,2.02,5.0,1.4507,0.8100000000000004,3.08,16.02,0.0,0.53,0.7600000000000001,17.8,6.3,5.1,104.1762021
15,100.16,105.45000000000002,-140.0,0.86,0.549,34.6,1.4235,1.5900000000000003,1.27,4.76,0.0,0.53,0.4199999999999999,16.7,4.3,4.3,116.4653488
