,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
361,Water,Recommended,3,18.02,100,0,0.995,0.89,23.8,1.333,-1.38,1.86,80.1,1.17,0.47,1.09,15.5,16,42.3,18.10572864,Water,No Group,,,,,,,,,,,1 Ã‚Â£/L
360,Methanol,Recommended,3,32.04,64.7,-97.8,0.7866,0.54,127,1.3292,-0.77,1.7,32.7,0.98,0.66,0.6,15.1,12.3,22.3,40.73480803,Methanol,Alcohol,,,,,,,,,28,,31 Ã‚Â£/L
359,Ace-nitrile,Problematic,2,41.05,81.6,-44,0.79,0.35,88.8,1.33934,-0.34,3.94,37.5,0.19,0.4,0.75,15.3,18,6.1,51.96506329,Ace-nitrile,No Group,,,80,58,50,,99,,,,73 Ã‚Â£/L
358,acetaldehyde,,,44.03,20.2,-123,0.79,0.21,902,1.37,0.63,2.69,12.25639428,0.477764021,0.537466047,0.622305191,14.7,8,11.3,57.1,,,,,,,,,,,,,
357,formamide,,,45.02,207,2.5,1.13,7.834940235,62.04602847,1.44754,-1.51,3.322234832,84,0.71,0.48,0.97,17.2,26.2,19,39.8,,,,,,,,,,,,,
356,formicacid,#FFD700,,46,100.56,4,1.214,1.966,42.603,1.369,0.54,2.553553366,29.72669299,1.23,0.38,0.65,14.3,11.9,16.6,37.8,,,,,,,,,,,,,
355,Ethanol,Recommended,3,46.07,78.24,-114.1,0.7893,1.07,59.3,1.3611,-0.31,1.69,24.55,0.86,0.75,0.54,15.8,8.8,19.4,58.366654,Ethanol,Alcohol,,,,,,,,,,,40 Ã‚Â£/L
354,acrylonitrile,,,53.03,77,-84,0.81,0.714102624,109,1.3911,0.25,3.057803873,38,-0.017805546,0.57629199,0.69493552,16.4,17.4,6.8,67.1,,,,,,,,,,,,,
353,propionitrile,,,55.04,97,-92,0.78,0.389,143.4657425,1.36585,0.16,3.119582859,24.90145609,0.129786055,0.494237609,0.692807721,15.3,14.3,5.5,70.9,,,,,,,,,,,,,
352,allylalcohol,,,58.04,97,-129,0.85,1.218,25.4,1.41345,0.17,1.962208835,22,0.76158947,0.68459904,0.650477145,16.2,10.8,16.8,68.4,,,,,,,,,,,,,
351,Acetone,Recommended,3,58.08,56.08,-94.9,0.7845,0.32,231,1.3588,-0.24,2.88,20.7,0.08,0.43,0.71,15.5,10.4,7,74.03416189,Ace-ne,No Group,,,,,,,96,,,,28 Ã‚Â£/L
350,N-methylformamide,,,59.04,182.5,-3,0.9961,7.3103834,42.09322225,1.4319,-0.0624,3.231050708,182.4,0.62,0.8,0.9,17.59070134,13.52124128,14.4437109,68.06261847,,,,,,,,,,,,,
349,propylamine,,,59.07,48,-83,0.717,5.545201469,310,1.387,0.15,1.295104642,13.91834435,0.621524029,0.692774758,0.433363823,17,4.9,8.6,83,,,,,,,,,,,,,
348,methyl formate,,,60.02,32,-100,0.98,0.325,585.7,1.3433,-0.21,1.590488401,8.5,0,0.37,0.62,15.97771587,7.311228123,7.505054602,55.91377279,,,,,,,,,,,,,
347,Acetic acid,Problematic,2,60.05,117.9,16.6,1.0446,1.056,15.7,1.372,-0.17,1.7,6.2,1.12,0.45,0.64,14.5,8,13.5,57.48841662,Acetic acid,No Group,,,,,,,,,,,36 Ã‚Â£/L
346,1-propanol,,,60.06,97,-127,0.81,2.256,49.4187257,1.3855,0.25,1.68,15.83934251,0.65562004,0.756799458,0.495271466,16,6.8,17.4,75.2,,,,,,,,,,,,,
344,ethylenediamine,,,60.07,117,8.5,0.91,0.0154,-5.457157372,1.4565,-1.2,1.9,32.43528546,0.373625357,0.730074471,0.880037312,16.6,8.8,17,67.3,,,,,,,,,,,,,
345,"n,ndimethylhydrazine",,,60.07,64,-58,0.79,2.244602346,167,1.40753,-1.19,1.734592186,22.02124578,0.742389581,0.635676716,0.554886004,15.3,5.9,11,76,,,,,,,,,,,,,
343,Isopropyl alcohol,Recommended,3,60.1,82.3,-88.5,0.78509,2.04,45.4,1.377,0.05,1.59,19.4,0.76,0.95,0.48,15.8,6.1,16.4,76.54612847,,Alcohol,,100,,,,,,,31,,47 Ã‚Â£/L
341,ethanethiol,,,62.02,37.3,-98,0.85,0.514939014,502,1.432,0.84,0.322447283,-1.595561371,0,0.34,0.57,17.72649736,0.923784846,1.49188461,93.42085017,,,,,,,,,,,,,
342,dimethyl sulfide,,,62.02,35,-144.4,0.84,3.636848433,529,1.428,1.5,1.533484144,13.43869112,0.302971407,0.445169732,0.439857486,15.8,6.5,7.2,74.3,,,,,,,,,,,,,
340,Ethylene glycol,Recommended,3,62.07,197.3,-12.69,1.1135,16.1,0.092,1.4318,-1.36,2.31,37.7,0.9,0.52,0.92,17,11,26,55.7415357,Ethylene Glycol,No Group,,,,,,,,,,,23 Ã‚Â£/L
339,Nitromethane,Highly Hazardous,0,64.06,101.1,-28.7,1.1371,0.63,35.8,1.3817,-0.35,3.46,39.4,0.22,0.06,0.85,15.8,18.8,5.1,56.33541465,Nitromethane,No Group,,,,,,,,,,,96 Ã‚Â£/L
338,1h-pyrrole,,,67.04,130.5,-24,0.96,4.1123,42.09322225,1.5085,0.75,3.231050708,37.27956908,0.263622919,0.717616954,0.905446326,17.95020649,12.07667023,13.25233025,80.68947063,,,,,,,,,,,,,
337,furan,,,68.03,31.3,-85.6,0.94,0.38,600,1.4214,1.34,0.387208733,3,-0.107214115,0.127812163,0.488357754,17.8,1.8,5.3,72.5,,,,,,,,,,,,,
336,butyronitrile,,,69.06,117,-112,0.81,0.6,69.74754319,1.38385,0.55,3.328925195,20.7,-0.06162496,0.532243706,0.677808523,15.3,12.5,5.1,87,,,,,,,,,,,,,
335,dimethylcyanamide,,,70.05,163.5,-41,0.876,2.151162329,59.57094008,1.4089,-1.326364894,3.627322688,33.22410082,0,0.64,0.72,16.85791699,12.0903798,8.60120698,76.90771169,,,,,,,,,,,,,
334,cyclopentane,,,70.08,49,-94,0.75,0.44,317.8,1.4065,3,0,1.588719367,-0.006231548,0.225278524,0.16446835,16.22556643,1.480910816,-0.98375643,98.29686021,,,,,,,,,,,,,
333,3-hydroxypropionitrile,,,71.04,221,-46,1.04,8.367650451,56.57873349,1.4248,-0.94,3.322234832,40.69058387,0.376990217,0.497315625,0.876374533,17.2,18.8,17.6,68.3,,,,,,,,,,,,,
332,butyraldehyde,,,72.06,74.8,-99,0.799,0.45,111,1.382,0.88,2.72,13.4,0.077156422,0.531789928,0.580694605,14.7,5.3,7,88.5,,,,,,,,,,,,,
