,"
'number'","
'smiles'","
'casnumber'"
0,1,CC(Cl)(Cl)Cl,71-55-6
1,2,CN(C)C(=O)N(C)C,632-22-4
2,3,CC(Cl)Cl,75-34-3
3,4,ClC(Cl)=C,75-35-4
4,5,NCCN,107-15-3
5,6,Clc1ccccc1Cl,95-50-1
6,7,ClCCCl,107-06-2
7,8,COCCOC,110-71-4
8,9,OCCO,107-21-1
9,10,Cc1cc(C)cc(C)c1,108-67-8
10,11,Cc1ccc(C)cc1,106-42-3
11,12,C1COCCO1,123-91-1
12,13,CN1CCCC1=O,872-50-4
13,14,CC(C)C(=O)C(C)C,565-80-0
14,15,CC(C)CC(=O)CC(C)C,108-83-8
15,16,NCCO,141-43-5
16,17,COCCO,109-86-4
17,18,CCCC(C)C,107-83-5
18,19,CC1CCCO1,96-47-9
19,20,CCC(C)(C)O,75-85-4
20,21,CC(C)CO,78-83-1
21,22,CC(C)(C)O,75-65-0
22,23,CC(=O)C(C)(C)C,75-97-8
23,24,CC(C)C(C)=O,563-80-4
24,25,CC(C)CCO,123-51-3
25,26,CC(C)CC(C)=O,108-10-1
26,27,CC(O)=O,64-19-7
27,28,CC(=O)OC(C)=O,108-24-7
28,29,CC(C)=O,67-64-1
29,30,CC#N,75-05-8
30,31,CC(=O)c1ccccc1,98-86-2
31,32,Nc1ccccc1,62-53-3
32,33,COc1ccccc1,100-66-3
33,34,c1ccccc1,71-43-2
34,35,N#Cc1ccccc1,100-47-0
35,36,FC(F)(F)c1ccccc1,98-08-8
36,37,OCc1ccccc1,100-51-6
37,38,Brc1ccccc1,108-86-1
38,39,CCCCO,71-36-3
39,40,CCC(C)O,78-92-2
40,41,CCC(C)=O,78-93-3
41,42,CCCC#N,109-74-0
42,43,S=C=S,75-15-0
43,44,Clc1ccccc1,108-90-7
44,45,ClC(Cl)Cl,67-66-3
45,46,C1CCC2CCCCC2C1,493-01-6
46,47,C1CCCCC1,110-82-7
47,48,OC1CCCCC1,108-93-0
48,49,O=C1CCCCC1,108-94-1
49,50,COC1CCCC1,5614-37-9
50,51,CCCCCCCCCC,124-18-5
51,52,ClCCl,75-09-2
52,53,CCOCC,60-29-7
53,54,CCNCC,109-89-7
54,55,CCOC(=O)OCC,105-58-8
55,56,OCCOCCO,111-46-6
56,57,CCOCCOCCOCC,112-36-7
57,58,COCCOCCOC,111-96-6
58,59,ICI,75-11-6
59,60,CC(C)OC(C)C,108-20-3
60,61,C[S](C)=O,67-68-5
61,62,CCCCOCCCC,142-96-1
62,63,CCCOCCC,111-43-3
63,64,O(c1ccccc1)c2ccccc2,101-84-8
64,65,CCO,64-17-5
65,66,CCOC(C)=O,141-78-6
66,67,CCOc1ccccc1,103-73-1
67,68,Fc1ccccc1,462-06-6
68,69,NC=O,75-12-7
69,70,OC=O,64-18-6
70,71,OCC(O)CO,56-81-5
71,72,CN(C)[P](=O)(N(C)C)N(C)C,680-31-9
72,73,Ic1ccccc1,591-50-4
73,74,CC(C)COC(C)=O,110-19-0
74,75,CC(C)OC(C)=O,108-21-4
75,76,CO,67-56-1
76,77,COC(C)=O,79-20-9
77,78,C1COCCN1,110-91-8
78,79,CN(C)C(C)=O,127-19-5
79,80,CN(C)C=O,68-12-2
80,81,CCCCOC(C)=O,123-86-4
81,82,CCCCCCC,142-82-5
82,83,CCCCCC,110-54-3
83,84,[O-][N+](=O)c1ccccc1,98-95-3
84,85,C[N+]([O-])=O,75-52-5
85,86,CNC(C)=O,79-16-3
86,87,CNC=O,123-39-7
87,88,CCCCCCCCC,111-84-2
88,89,CCCCCCCC,111-65-9
89,90,CCCCC,109-66-0
90,91,CCCCCO,71-41-0
91,92,CCCC(C)O,6032-29-7
92,93,CCCC(C)=O,107-87-9
93,94,CCC(O)CC,584-02-1
94,95,CCC(=O)CC,96-22-0
95,96,C1CCNCC1,110-89-4
96,97,CCCO,71-23-8
97,98,CC(C)O,67-63-0
98,99,CCC(O)=O,79-09-4
99,100,CCC#N,107-12-0
100,101,c1ccncc1,110-86-1
101,102,c1ccc2ncccc2c1,91-22-5
102,103,O=[S]1(=O)CCCC1,126-33-0
103,104,COC(C)(C)C,1634-04-4
104,105,ClC(Cl)=C(Cl)Cl,127-18-4
105,106,ClC(Cl)(Cl)Cl,56-23-5
106,107,OCCOCCOCCOCCO,112-60-7
107,108,C1CCOC1,109-99-9
108,109,C1CCc2ccccc2C1,119-64-2
109,110,Cc1ccccc1,108-88-3
110,111,CCCCN(CCCC)CCCC,102-82-9
111,112,ClC=C(Cl)Cl,79-01-6
112,113,CCN(CC)CC,121-44-8
113,114,OCCOCCOCCO,112-27-6
114,115,COCCOCCOCCOC,112-49-2
115,116,O,7732-18-5
116,117,CN(C)c1ccccc1,121-69-7
117,118,CC1CCCCC1,108-87-2
118,119,CN1CCCN(C)C1=O,7226-23-5
