,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
0,98.96,83.4,-35.6,1.2454,0.78,78.89,1.4422,1.48,1.27,10.74,0.0,0.1,0.81,19.0,7.4,4.1,79.46009314
1,90.12,85.0,-58.0,0.863,0.4859,48.0,1.3813,-0.21,1.71,7.2,0.0,0.41,0.53,15.4,6.3,6.0,104.4264195
2,76.1,124.1,-85.1,0.9647,1.544,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439
3,60.05,117.9,16.6,1.0446,1.056,15.7,1.372,-0.17,1.7,6.2,1.12,0.45,0.64,14.5,8.0,13.5,57.48841662
4,102.09,139.5,-73.4,1.082,0.843,5.11,1.3901,-0.27,2.8,20.7,0.0,0.29,0.76,16.0,11.7,10.2,94.35268022
5,58.08,56.08,-94.9,0.7845,0.32,231.0,1.3588,-0.24,2.88,20.7,0.08,0.43,0.71,15.5,10.4,7.0,74.03416189
6,41.05,81.6,-44.0,0.79,0.35,88.8,1.33934,-0.34,3.94,37.5,0.19,0.4,0.75,15.3,18.0,6.1,51.96506329
7,108.14,153.7,-37.3,0.9956,0.778,3.54,1.51791,2.11,1.36,4.3,0.0,0.32,0.73,17.8,4.1,6.7,108.6179188
8,78.11,80.08,5.558,0.8756,0.604,94.8,1.5011,2.13,0.0,2.275,0.0,0.1,0.59,18.4,0.0,2.0,89.21128369
9,146.11,103.46,-29.05,1.1886,0.5524,38.83,1.41486,3.01,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,0.0,122.9261316
10,108.14,205.3,-15.2,1.0419,5.474,0.094,1.5396,1.1,1.71,13.0,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669
11,153.82,76.7,-22.2,1.594,0.91,115.0,1.4601,2.83,0.0,2.2,0.0,0.1,0.28,17.8,0.0,0.6,96.50125471
12,119.38,61.12,-63.47,1.484,0.54,197.0,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884
13,84.16,80.7,6.47,0.7781,0.89,97.5,1.42662,3.44,0.61,2.0,0.0,0.0,0.0,16.8,0.0,0.2,108.1619329
14,98.14,155.4,-31.0,0.9421,2.02,5.0,1.4507,0.81,3.08,16.02,0.0,0.53,0.76,17.8,6.3,5.1,104.1762021
15,100.16,105.45,-140.0,0.86,0.549,34.6,1.4235,1.59,1.27,4.76,0.0,0.53,0.42,16.7,4.3,4.3,116.4653488
16,128.13,227.0,-20.0,1.25,11.62,0.11,1.4712,-0.71,4.4,3.4,0.0,0.61,0.93,18.8,10.6,6.9,102.504
17,84.93,39.75,-95.0,1.3255,0.41,435.0,1.4244,1.25,1.6,9.1,0.13,0.1,0.82,18.2,6.3,6.1,64.07604677
18,74.12,34.6,-116.3,0.7134,0.22,538.0,1.35555,0.89,1.15,4.3,0.0,0.47,0.27,14.5,2.9,5.1,103.9001962
19,90.08,90.5,0.5,1.0636,0.664,55.364,1.3687,0.15,0.93,3.17,0.0,0.32,0.44,15.5,3.9,9.7,84.69217751
20,78.13,189.0,18.45,1.1,1.99,0.6,1.4783,-1.35,3.96,46.68,0.0,0.76,1.0,18.4,16.4,10.2,71.02618182
21,88.11,101.2,11.75,1.0337,1.18,38.1,1.4224,-0.27,0.0,2.2,0.0,0.37,0.55,19.0,1.8,7.4,85.23749637
22,46.07,78.24,-114.1,0.7893,1.07,59.3,1.3611,-0.31,1.69,24.55,0.86,0.75,0.54,15.8,8.8,19.4,58.366654
23,88.11,77.1,-83.8,0.9003,0.42,93.2,1.3723,0.73,1.78,6.0,0.0,0.45,0.55,15.8,5.3,7.2,97.86293458
24,118.13,154.0,-26.0,1.0328,2.398,3.75,1.4124,-0.19,2.55,13.1,0.69,0.52,0.82,16.0,7.6,12.5,114.3783888
25,88.06,248.0,36.4,1.3214,1.93,979.0,1.4148,-0.9,4.51,89.78,0.0,0.32,0.99,19.4,21.7,5.1,66.64355986
26,62.07,197.3,-12.69,1.1135,16.1,0.092,1.4318,-1.36,2.31,37.7,0.9,0.52,0.92,17.0,11.0,26.0,55.7415357
27,100.12,205.0,-31.0,1.05,1.86,0.33,1.4313,-0.27,4.71,36.14,0.0,0.58,0.88,15.5,4.7,6.6,95.35238095
28,100.2,98.38,-90.549,0.6795,0.395,46.03,1.3855,4.66,0.0,1.92,0.0,0.0,-0.08,15.3,0.0,0.0,147.4663723
29,168.05,58.9,-3.9,1.596,1.58,158.0,1.275,1.91,2.05,16.7,1.96,0.0,0.65,17.2,4.5,14.7,105.2944862
30,179.2,233.0,6.1,1.03,3.24,0.03,1.4572,0.28,4.19,29.0,0.0,1.05,0.87,18.5,8.6,11.3,173.9805825
31,86.18,68.7,-95.35,0.6606,0.295,153.0,1.3727,3.9,0.0,1.88,0.0,0.0,-0.04,14.9,0.0,0.0,130.4520133
